id,title,kind,category,platform,sourceUrl,sourceFile,author,tags,summary,materialUrls,searchQueries,applicableScene,applicableSubject,replicability,shootingRisk,coreFocus,priceTier,worth,whyWorth,licenseClass,shotSizeNormalized,cameraMovement,compositionNormalized,workflowStage,seoTitle,seoKeywords,usageNote,status,priority
"00-小红书收藏-拍摄专辑-夏天就要拍草地和蓝天呀-文艺胶片风-40","夏天就要拍草地和蓝天呀！📷文艺胶片风","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；胶片；草地；夏天","草地/胶片风","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","夏天就要拍草地和蓝天呀！📷文艺胶片风 综合参考 收藏 拍摄 小红书 摄影参考 胶片 草地 夏天；夏天就要拍草地和蓝天呀！📷文艺胶片风 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","草地/公园","单人女生/普通客片","容易","天气和光线不稳定","色彩后期；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","夏天就要拍草地和蓝天呀！📷文艺胶片风 - 综合参考摄影参考","夏天就要拍草地和蓝天呀！📷文艺胶片风；综合参考；收藏；拍摄；小红书；摄影参考；胶片；草地；夏天；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-这组国风旗袍夯爆了-41","这组国风旗袍夯爆了","obsidian_table_row","国风/汉服","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；旗袍","旗袍/国风","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","这组国风旗袍夯爆了 国风/汉服 收藏 拍摄 小红书 摄影参考 旗袍；这组国风旗袍夯爆了 摄影参考；国风/汉服 人像拍摄；收藏 拍摄 小红书 pose reference","园林/古风室内","汉服模特","中等","妆造/服装/道具影响很大","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","inspiration","这组国风旗袍夯爆了 - 国风/汉服摄影参考","这组国风旗袍夯爆了；国风/汉服；收藏；拍摄；小红书；摄影参考；旗袍；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-35mm下的绿意-42","35mm下的绿意","obsidian_table_row","构图/技巧","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；35mm","镜头/绿意","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","35mm下的绿意 构图/技巧 收藏 拍摄 小红书 摄影参考 35mm；35mm下的绿意 摄影参考；构图/技巧 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","构图镜头；发布表达","99-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","35mm下的绿意 - 构图/技巧摄影参考","35mm下的绿意；构图/技巧；收藏；拍摄；小红书；摄影参考；35mm；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-5月的蓝花楹是春天写给昆明的诗-43","5月的蓝花楹是春天写给昆明的诗🪻","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","蓝花楹/城市","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","5月的蓝花楹是春天写给昆明的诗🪻 综合参考 收藏 拍摄 小红书 摄影参考；5月的蓝花楹是春天写给昆明的诗🪻 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","5月的蓝花楹是春天写给昆明的诗🪻 - 综合参考摄影参考","5月的蓝花楹是春天写给昆明的诗🪻；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-月见草写真全攻略-月色如梦-花香如诗-44","🌕月见草写真全攻略｜月色如梦，花香如诗🌸","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","月见草/攻略","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","🌕月见草写真全攻略｜月色如梦，花香如诗🌸 综合参考 收藏 拍摄 小红书 摄影参考；🌕月见草写真全攻略｜月色如梦，花香如诗🌸 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","🌕月见草写真全攻略｜月色如梦，花香如诗🌸 - 综合参考摄影参考","🌕月见草写真全攻略｜月色如梦，花香如诗🌸；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-5-9-一不小心-误闯现实版的印象派油画-45","5.9｜一不小心，误闯现实版的印象派油画！","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","印象派","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","5.9｜一不小心，误闯现实版的印象派油画！ 综合参考 收藏 拍摄 小红书 摄影参考；5.9｜一不小心，误闯现实版的印象派油画！ 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","5.9｜一不小心，误闯现实版的印象派油画！ - 综合参考摄影参考","5.9｜一不小心，误闯现实版的印象派油画！；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-用全屏-live-走进我的夏日阳光农场-46","用全屏 live 走进我的夏日阳光农场🏡","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","农场/氛围","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","用全屏 live 走进我的夏日阳光农场🏡 综合参考 收藏 拍摄 小红书 摄影参考；用全屏 live 走进我的夏日阳光农场🏡 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","光线氛围；发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","long-shot","static","saliency-focus","inspiration","用全屏 live 走进我的夏日阳光农场🏡 - 综合参考摄影参考","用全屏 live 走进我的夏日阳光农场🏡；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-和摄影老师一起拍出了夏天的味道-47","和摄影老师一起拍出了夏天的味道！","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；夏天","氛围","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","和摄影老师一起拍出了夏天的味道！ 综合参考 收藏 拍摄 小红书 摄影参考 夏天；和摄影老师一起拍出了夏天的味道！ 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","天气和光线不稳定","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","和摄影老师一起拍出了夏天的味道！ - 综合参考摄影参考","和摄影老师一起拍出了夏天的味道！；综合参考；收藏；拍摄；小红书；摄影参考；夏天；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-用colorfit给夏天点颜色瞧瞧-48","用colorfit给夏天点颜色瞧瞧‼️","obsidian_table_row","调色/后期","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；夏天","配色/夏天","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","用colorfit给夏天点颜色瞧瞧‼️ 调色/后期 收藏 拍摄 小红书 摄影参考 夏天；用colorfit给夏天点颜色瞧瞧‼️ 摄影参考；调色/后期 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","天气和光线不稳定","色彩后期；发布表达","99-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","color-grading","用colorfit给夏天点颜色瞧瞧‼️ - 调色/后期摄影参考","用colorfit给夏天点颜色瞧瞧‼️；调色/后期；收藏；拍摄；小红书；摄影参考；夏天；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-朋友圈吃不了的细糠-小红书也吃不了-49","朋友圈吃不了的细糠，小红书也吃不了","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","高级感","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","朋友圈吃不了的细糠，小红书也吃不了 综合参考 收藏 拍摄 小红书 摄影参考；朋友圈吃不了的细糠，小红书也吃不了 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","朋友圈吃不了的细糠，小红书也吃不了 - 综合参考摄影参考","朋友圈吃不了的细糠，小红书也吃不了；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-是闪闪发光的青春呀-50","是闪闪发光的青春呀📷","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","青春感","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","是闪闪发光的青春呀📷 综合参考 收藏 拍摄 小红书 摄影参考；是闪闪发光的青春呀📷 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","是闪闪发光的青春呀📷 - 综合参考摄影参考","是闪闪发光的青春呀📷；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-这个能拍吗-拍摄过程思路分享-51","这个能拍吗⁉️拍摄过程思路分享","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","创作思路","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","这个能拍吗⁉️拍摄过程思路分享 综合参考 收藏 拍摄 小红书 摄影参考；这个能拍吗⁉️拍摄过程思路分享 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","这个能拍吗⁉️拍摄过程思路分享 - 综合参考摄影参考","这个能拍吗⁉️拍摄过程思路分享；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-拍了30多场校园写真-我复盘出11条翻车真相-52","拍了30多场校园写真，我复盘出11条翻车真相","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","复盘/经验","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","拍了30多场校园写真，我复盘出11条翻车真相 综合参考 收藏 拍摄 小红书 摄影参考；拍了30多场校园写真，我复盘出11条翻车真相 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","review","拍了30多场校园写真，我复盘出11条翻车真相 - 综合参考摄影参考","拍了30多场校园写真，我复盘出11条翻车真相；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-朋友说我拍的特写有氛围感-但大景有种神性-53","朋友说我拍的特写有氛围感📷但大景有种神性","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","神性","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","朋友说我拍的特写有氛围感📷但大景有种神性 综合参考 收藏 拍摄 小红书 摄影参考；朋友说我拍的特写有氛围感📷但大景有种神性 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","close-up","static","saliency-focus","inspiration","朋友说我拍的特写有氛围感📷但大景有种神性 - 综合参考摄影参考","朋友说我拍的特写有氛围感📷但大景有种神性；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-拍成这样可以收1-9-9-吗-54","拍成这样可以收1️⃣9️⃣9️⃣吗？","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","定价/商业","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","拍成这样可以收1️⃣9️⃣9️⃣吗？ 综合参考 收藏 拍摄 小红书 摄影参考；拍成这样可以收1️⃣9️⃣9️⃣吗？ 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","商业客户","中等","常规沟通和审美匹配风险","发布表达","699+/商业单","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","拍成这样可以收1️⃣9️⃣9️⃣吗？ - 综合参考摄影参考","拍成这样可以收1️⃣9️⃣9️⃣吗？；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-三亚-不倒闭我会一直去的店-纯分享-55","三亚！不倒闭我会一直去的店！！（纯分享）","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","场地推荐","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","三亚！不倒闭我会一直去的店！！（纯分享） 综合参考 收藏 拍摄 小红书 摄影参考；三亚！不倒闭我会一直去的店！！（纯分享） 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","需要场地许可或低打扰拍摄","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","三亚！不倒闭我会一直去的店！！（纯分享） - 综合参考摄影参考","三亚！不倒闭我会一直去的店！！（纯分享）；综合参考；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"doc-摄影姿势库-00-小红书收藏-视频拍摄专辑-md","小红书收藏 - 视频拍摄专辑","obsidian_note","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","摄影姿势库/00_小红书收藏_视频拍摄专辑.md","","收藏；视频拍摄；小红书；拍摄；电影感；空镜；vlog","小红书收藏 视频拍摄专辑 来源：RoKing📷 的小红书收藏夹 视频拍摄专辑 共 4 个收藏 🎬 拍摄技巧 标题 类型 网球大片怎么拍？ 运动拍摄 终于轮到我拍这个毕业转场啦🎓 转场/毕业 vlog没有电影感？90%新手缺这3个细节 电影感 别再乱拍空镜，这才是电影感正确拍法！ 空镜/电影感 📚 精选收藏 1. vlog没有电影感？90%新手缺这3个","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","小红书收藏 - 视频拍摄专辑 视频拍摄 收藏 视频拍摄 小红书 拍摄 电影感 空镜 vlog；小红书收藏 - 视频拍摄专辑 摄影参考；视频拍摄 人像拍摄；收藏 视频拍摄 小红书 pose reference","校园/毕业季","毕业生/学生","中等","需要控光或合适时段；需要运动镜头和剪辑配合","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","extreme-wide-shot","travelling-in","saliency-focus","publishing","小红书收藏 - 视频拍摄专辑 - 视频拍摄摄影参考","小红书收藏 - 视频拍摄专辑；视频拍摄；收藏；小红书；拍摄；电影感；空镜；vlog；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 笔记抽取，可作为拍摄方案和参考检索的源材料。","待复核链接","中"
"00-小红书收藏-视频拍摄专辑-网球大片怎么拍-1","网球大片怎么拍？","obsidian_table_row","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","摄影姿势库/00_小红书收藏_视频拍摄专辑.md","","收藏；视频拍摄；小红书；拍摄","运动拍摄","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","网球大片怎么拍？ 视频拍摄 收藏 视频拍摄 小红书 拍摄；网球大片怎么拍？ 摄影参考；视频拍摄 人像拍摄；收藏 视频拍摄 小红书 pose reference","通用人像场景","视频创作者","中等","需要运动镜头和剪辑配合","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","travelling-in","saliency-focus","inspiration","网球大片怎么拍？ - 视频拍摄摄影参考","网球大片怎么拍？；视频拍摄；收藏；小红书；拍摄；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-视频拍摄专辑-终于轮到我拍这个毕业转场啦-2","终于轮到我拍这个毕业转场啦🎓","obsidian_table_row","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","摄影姿势库/00_小红书收藏_视频拍摄专辑.md","","收藏；视频拍摄；小红书；拍摄","转场/毕业","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","终于轮到我拍这个毕业转场啦🎓 视频拍摄 收藏 视频拍摄 小红书 拍摄；终于轮到我拍这个毕业转场啦🎓 摄影参考；视频拍摄 人像拍摄；收藏 视频拍摄 小红书 pose reference","校园/毕业季","毕业生/学生","中等","需要运动镜头和剪辑配合","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","travelling-in","saliency-focus","inspiration","终于轮到我拍这个毕业转场啦🎓 - 视频拍摄摄影参考","终于轮到我拍这个毕业转场啦🎓；视频拍摄；收藏；小红书；拍摄；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-视频拍摄专辑-vlog没有电影感-90-新手缺这3个细节-3","vlog没有电影感？90%新手缺这3个细节","obsidian_table_row","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","摄影姿势库/00_小红书收藏_视频拍摄专辑.md","","收藏；视频拍摄；小红书；拍摄；电影感；vlog","电影感","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","vlog没有电影感？90%新手缺这3个细节 视频拍摄 收藏 视频拍摄 小红书 拍摄 电影感 vlog；vlog没有电影感？90%新手缺这3个细节 摄影参考；视频拍摄 人像拍摄；收藏 视频拍摄 小红书 pose reference","通用人像场景","视频创作者","中等","需要控光或合适时段；需要运动镜头和剪辑配合","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","travelling-in","saliency-focus","inspiration","vlog没有电影感？90%新手缺这3个细节 - 视频拍摄摄影参考","vlog没有电影感？90%新手缺这3个细节；视频拍摄；收藏；小红书；拍摄；电影感；vlog；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","高"
"00-小红书收藏-视频拍摄专辑-别再乱拍空镜-这才是电影感正确拍法-4","别再乱拍空镜，这才是电影感正确拍法！","obsidian_table_row","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","摄影姿势库/00_小红书收藏_视频拍摄专辑.md","","收藏；视频拍摄；小红书；拍摄；电影感；空镜","空镜/电影感","https://www.xiaohongshu.com/board/69f81fad000000003302c5b4","别再乱拍空镜，这才是电影感正确拍法！ 视频拍摄 收藏 视频拍摄 小红书 拍摄 电影感 空镜；别再乱拍空镜，这才是电影感正确拍法！ 摄影参考；视频拍摄 人像拍摄；收藏 视频拍摄 小红书 pose reference","街道/室内/环境空镜","视频创作者","中等","需要控光或合适时段；需要运动镜头和剪辑配合","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","extreme-wide-shot","static","saliency-focus","inspiration","别再乱拍空镜，这才是电影感正确拍法！ - 视频拍摄摄影参考","别再乱拍空镜，这才是电影感正确拍法！；视频拍摄；收藏；小红书；拍摄；电影感；空镜；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","高"
"doc-摄影姿势库-00-小红书收藏-设计专辑-md","小红书收藏 - 设计专辑","obsidian_note","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","摄影姿势库/00_小红书收藏_设计专辑.md","","收藏；设计；小红书；UI设计；配色","小红书收藏 设计专辑 来源：RoKing📷 的小红书收藏夹 设计专辑 共 9 个收藏 🎨 配色类 标题 类型 一套很有层次的配色方案 配色 🌟配色美学｜被这组蓝硬控了💙 配色 深紫与金：配色美学的高级表达💜 配色 华为设计师都在用的渐变配色分享 渐变配色 🛠️ 工具/技能类 标题 类型 7 个 vibecoder 都应该知道的网站 工具 赶紧用A","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","小红书收藏 - 设计专辑 姿势/引导 收藏 设计 小红书 UI设计 配色；小红书收藏 - 设计专辑 摄影参考；姿势/引导 人像拍摄；收藏 设计 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","long-shot","static","foreground-background-layering","publishing","小红书收藏 - 设计专辑 - 姿势/引导摄影参考","小红书收藏 - 设计专辑；姿势/引导；收藏；设计；小红书；UI设计；配色；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 笔记抽取，可作为拍摄方案和参考检索的源材料。","待复核链接","中"
"00-小红书收藏-设计专辑-一套很有层次的配色方案-1","一套很有层次的配色方案","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","摄影姿势库/00_小红书收藏_设计专辑.md","","收藏；设计；小红书；UI设计；配色","配色","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","一套很有层次的配色方案 综合参考 收藏 设计 小红书 UI设计 配色；一套很有层次的配色方案 摄影参考；综合参考 人像拍摄；收藏 设计 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","foreground-background-layering","inspiration","一套很有层次的配色方案 - 综合参考摄影参考","一套很有层次的配色方案；综合参考；收藏；设计；小红书；UI设计；配色；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-设计专辑-配色美学-被这组蓝硬控了-2","🌟配色美学｜被这组蓝硬控了💙","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","摄影姿势库/00_小红书收藏_设计专辑.md","","收藏；设计；小红书；UI设计；配色","配色","https://www.xiaohongshu.com/board/69fca2af000000003400e8ff","🌟配色美学｜被这组蓝硬控了💙 综合参考 收藏 设计 小红书 UI设计 配色；🌟配色美学｜被这组蓝硬控了💙 摄影参考；综合参考 人像拍摄；收藏 设计 小红书 pose reference","通用人像场景","单人女生/普通客片","中等","常规沟通和审美匹配风险","发布表达","99-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","inspiration","🌟配色美学｜被这组蓝硬控了💙 - 综合参考摄影参考","🌟配色美学｜被这组蓝硬控了💙；综合参考；收藏；设计；小红书；UI设计；配色；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
